,Name,Current Price,Sale Price,Market Cap,Raised,ROI Usd,Ath ROI,Type,Tge Platform,Ended,Time of Crawl
1,METADOGE MTDU,-,-,-,"$20,000 ",-,-,IDO,Kingdom Game 4.0,Aug 18,2022/11/12
2,Monsterra MSTR,-,$0.20 ,-,"$92,000 ",-,-,IDO,Red Kite,Aug 16,2022/11/12
3,Monsterra MSTR,-,$0.20 ,-,"$131,000 ",-,-,IDO,GameFi,Aug 16,2022/11/12
4,Monsterra MSTR,-,$0.20 ,-,"$150,000 ",-,-,IDO,Poolz,Aug 16,2022/11/12
5,DEFY DEFY,-,$0.02 ,-,"$200,000 ",-,-,IDO,Polkastarter,Aug 15,2022/11/12
6,GEMS - Esports 3.0 Platform GEMS,-,$0 ,-,"$100,000 ",-,-,IDO,Polkabridge,Jul 27,2022/11/12
7,GEMS - Esports 3.0 Platform GEMS,-,$0 ,-,"$100,000 ",-,-,IDO,Kommunitas,Jul 26,2022/11/12
8,GEMS - Esports 3.0 Platform GEMS,-,$0 ,-,"$100,000 ",-,-,IDO,Polkabridge,Jul 21,2022/11/12
9,MCity MCT,-,$0.01 ,-,"$300,000 ",-,-,IDO,BSCStation,Jul 18,2022/11/12
10,MCity MCT,-,$0.01 ,-,"$300,000 ",-,-,IDO,BSCStation,Jul 18,2022/11/12
11,MCity MCT,-,$0.01 ,-,"$100,000 ",-,-,IDO,BinStarter,Jul 17,2022/11/12
12,Trivians TRIVIA,$0.01 ,$0.03 ,"$1,159,666 ","$1,750,000 ",0.33x,-,IDO,PancakeSwap,Jul 07,2022/11/12
13,Revoland,-,$0.60 ,-,"$50,000 ",-,-,IDO,Gamestarter,Jun 20,2022/11/12
14,MCity MCT,-,-,-,"$20,000 ",-,-,IDO,Kingdom Game 4.0,Jun 18,2022/11/12
15,WingStep,-,-,-,"$20,000 ",-,-,IDO,Kingdom Game 4.0,Jun 11,2022/11/12
16,Outlanders LAND,-,$0.01 ,-,"$50,000 ",-,-,IDO,Polkabridge,Jun 10,2022/11/12
17,Oceanland OLAND,$0 ,$0.03 ,-,"$288,000 ",0.24x,-,IDO,GameFi,Jun 07,2022/11/12
18,Oceanland OLAND,$0 ,$0.03 ,-,"$288,000 ",0.24x,-,IDO,Red Kite,Jun 07,2022/11/12
19,Oceanland OLAND,$0 ,-,-,"$288,000 ",-,-,IDO,GameFi,Jun 06,2022/11/12
20,Outlanders LAND,-,-,-,"$100,000 ",-,-,Private,MoonStarter,May 27,2022/11/12
21,Outlanders LAND,-,-,-,"$100,000 ",-,-,IDO,MoonStarter,May 27,2022/11/12
22,Bikearn RTE,-,-,-,"$250,000 ",-,-,IDO,BSCStation,May 26,2022/11/12
23,PlayZap PLAYZAP,-,-,-,-,-,-,Private,Infinite Launch,May 26,2022/11/12
24,X-Metaverse XMETA,$0 ,-,-,"$150,000 ",-,-,IDO,GameFi,May 25,2022/11/12
25,X-Metaverse XMETA,$0 ,-,-,"$200,000 ",-,-,IDO,Red Kite,May 25,2022/11/12
26,Bikearn RTE,-,-,-,"$100,000 ",-,-,IDO,BinStarter,May 25,2022/11/12
27,Bikearn RTE,-,-,-,"$120,000 ",-,-,IDO,Kommunitas,May 25,2022/11/12
28,Snake City SNCT,-,$0.02 ,-,"$600,000 ",-,-,IDO,Avalaunch,May 24,2022/11/12
29,MangaMon MAN,-,$0.40 ,-,"$5,894 ",-,-,IDO,FantomStarter,May 23,2022/11/12
30,Moonfrost FROST,-,-,-,"$54,000 ",-,-,IDO,Solanium,May 23,2022/11/12
31,DeepBlueSea DBEA,-,$0.30 ,-,"$200,000 ",-,-,IDO,Zelwin Finance,May 17,2022/11/12
32,iStep ISTEP,-,$0.01 ,-,"$250,000 ",-,-,IDO,BSCStation,May 16,2022/11/12
33,iStep ISTEP,-,$0.01 ,-,"$120,000 ",-,-,IDO,Kommunitas,May 16,2022/11/12
34,iStep ISTEP,-,$0.01 ,-,"$100,000 ",-,-,IDO,BinStarter,May 16,2022/11/12
35,CanaBoyz CNB,-,$0 ,-,"$100,000 ",-,-,IDO,Roseon Finance,May 13,2022/11/12
36,Fight Of The Ages FOTA,$0.02 ,-,"$190,657 ","$10,000 ",-,-,Private,Koistarter,May 12,2022/11/12
37,Creo Engine CREO,-,-,-,"$50,000 ",-,-,Private,FantomStarter,May 04,2022/11/12
38,Goons of Balatroon GOB,-,-,-,"$50,000 ",-,-,IDO,Koistarter,May 04,2022/11/12
39,GEMS - Esports 3.0 Platform GEMS,-,-,-,"$400,000 ",-,-,IDO,Seedify,May 04,2022/11/12
40,Eizper Chain EIZ,-,-,-,"$300,000 ",-,-,IDO,Solanium,May 03,2022/11/12
41,GEMS - Esports 3.0 Platform GEMS,-,-,-,"$150,000 ",-,-,Strategic,Seedify,May 03,2022/11/12
42,Nomadland NOMAD,-,$0.25 ,-,"$100,000 ",-,-,IDO,BinStarter,Apr 30,2022/11/12
43,Nomadland NOMAD,-,$0.25 ,-,"$200,000 ",-,-,IDO,Roseon Finance,Apr 30,2022/11/12
44,Nomadland NOMAD,-,$0.25 ,-,"$50,000 ",-,-,IDO,Zelwin Finance,Apr 30,2022/11/12
45,Zone of Avoidance ZOA,-,$0.02 ,-,"$400,000 ",-,-,IDO,PAID Network,Apr 29,2022/11/12
46,Zone of Avoidance ZOA,-,$0.02 ,-,"$150,000 ",-,-,IDO,Kommunitas,Apr 28,2022/11/12
47,Zone of Avoidance ZOA,-,$0.02 ,-,"$100,000 ",-,-,IDO,BinStarter,Apr 28,2022/11/12
48,Zone of Avoidance ZOA,-,$0.02 ,-,"$100,000 ",-,-,IDO,LuaStarter,Apr 28,2022/11/12
49,Wonderman Nation WNDR,-,$0.09 ,-,"$800,000 ",-,-,IDO,Polkastarter,Apr 28,2022/11/12
50,Snail Trail SLIME,-,$0.06 ,-,"$1,188,000 ",-,-,IDO,Avalaunch,Apr 28,2022/11/12
51,MetaSpets MSP,$0 ,$0.04 ,-,"$180,000 ",0.01x,-,IDO,GameFi,Apr 27,2022/11/12
52,Creo Engine CREO,-,$0.04 ,-,"$195,000 ",-,-,IDO,Infinity Pad,Apr 27,2022/11/12
53,Cricket Star Manager CSM,$0.02 ,$0.20 ,-,"$500,000 ",0.1x,-,IDO,StarLaunch,Apr 27,2022/11/12
54,Creo Engine CREO,-,$0.04 ,-,"$150,000 ",-,-,IDO,Gamestarter,Apr 27,2022/11/12
55,Legends of Elumia ELU,-,$0.05 ,-,"$200,000 ",-,-,IDO,GameFi,Apr 26,2022/11/12
56,Creo Engine CREO,-,$0.04 ,-,"$100,000 ",-,-,IDO,Kommunitas,Apr 26,2022/11/12
57,Taroverse TARO,-,-,-,"$10,000 ",-,-,Private,Koistarter,Apr 26,2022/11/12
58,Taroverse TARO,-,$0.01 ,-,"$150,000 ",-,-,IDO,BinStarter,Apr 25,2022/11/12
59,Legend Of Galaxy GAE,-,$0.02 ,-,"$50,000 ",-,-,IDO,Polkabridge,Apr 25,2022/11/12
60,Basketballverse BVR,-,$0.15 ,-,"$300,000 ",-,-,IDO,Impossible Finance,Apr 23,2022/11/12
61,Taroverse TARO,-,$0.01 ,-,"$75,000 ",-,-,IDO,Kommunitas,Apr 23,2022/11/12
62,Taroverse TARO,-,$0.01 ,-,"$150,000 ",-,-,IDO,BSCStation,Apr 23,2022/11/12
63,Legends of Elumia ELU,-,$0.05 ,-,"$100,000 ",-,-,IDO,FireStarter,Apr 22,2022/11/12
64,MetaChess SHAH,$0 ,$0.03 ,-,"$150,000 ",-,-,IDO,BSCStation,Apr 22,2022/11/12
65,Legend Of Galaxy GAE,-,$0.02 ,-,"$70,000 ",-,-,IDO,BSClaunch,Apr 22,2022/11/12
66,Plant Exodus PEXO,-,$0.02 ,-,"$100,000 ",-,-,IDO,Red Kite,Apr 22,2022/11/12
67,MetaDerby DBY,-,$0.04 ,-,"$1,000,000 ",-,-,IDO,Avalaunch,Apr 22,2022/11/12
68,MetaChess SHAH,$0 ,-,-,-,-,-,IDO,Infinity Pad,Apr 22,2022/11/12
69,MetaBomb MTB,$0 ,-,-,"$350,000 ",-,-,IDO,LaunchZone,Apr 22,2022/11/12
70,Legend Of Galaxy GAE,-,$0.02 ,-,"$80,000 ",-,-,IDO,DAOLaunch,Apr 21,2022/11/12
71,MetaShooter MHUNT,-,$0.13 ,-,"$285,000 ",-,-,IDO,GameZone,Apr 21,2022/11/12
72,MetaShooter MHUNT,-,$0.13 ,-,"$285,000 ",-,-,IDO,BSCPad,Apr 21,2022/11/12
73,Wonderman Nation WNDR,-,$0.09 ,-,"$200,000 ",-,-,IDO,ChainBoost,Apr 21,2022/11/12
74,CanaBoyz CNB,-,$0 ,-,"$50,000 ",-,-,IDO,Zelwin Finance,Apr 21,2022/11/12
75,OkLetsPlay OKLP,$0 ,$0.02 ,-,"$1,250,000 ",0.13x,-,IDO,Polkastarter,Apr 20,2022/11/12
76,Taroverse TARO,-,$0.01 ,-,"$20,000 ",-,-,IDO,Koistarter,Apr 20,2022/11/12
77,Legends of Elumia ELU,-,$0.05 ,-,"$200,000 ",-,-,IDO,StarLaunch,Apr 19,2022/11/12
78,Plato Farm PLATO,-,$0.05 ,-,"$1,000,000 ",-,-,IDO,Kommunitas,Apr 18,2022/11/12
79,MetaShooter MHUNT,-,-,-,"$200,000 ",-,-,Private,PAID Network,Apr 18,2022/11/12
80,MetaShooter MHUNT,-,-,-,"$50,000 ",-,-,Private,Starter,Apr 18,2022/11/12
81,Jungle Road JGRD,-,$0.04 ,-,"$161,500 ",-,-,IDO,TrustPad,Apr 16,2022/11/12
82,MetaShooter MHUNT,-,-,-,"$50,000 ",-,-,Private,Kommunitas,Apr 16,2022/11/12
83,Cens World CENS,-,$0.06 ,-,"$50,000 ",-,-,IDO,BSClaunch,Apr 15,2022/11/12
84,Realms Of Ethernity RETH,-,$0.03 ,-,"$300,000 ",-,-,IDO,Seedify,Apr 13,2022/11/12
85,Realms Of Ethernity RETH,-,$0.03 ,-,"$161,500 ",-,-,IDO,TrustPad,Apr 13,2022/11/12
86,Plutonians DAO RPC,-,-,-,"$125,000 ",-,-,Private,Enjinstarter,Apr 12,2022/11/12
87,Sugar Kingdom CANDY,$0.01 ,$0.16 ,-,"$75,000 ",0.09x,-,IDO,BinStarter,Apr 11,2022/11/12
88,Sugar Kingdom CANDY,$0.01 ,$0.16 ,-,"$50,000 ",0.09x,-,IDO,Roseon Finance,Apr 11,2022/11/12
89,MetaFighter MF,$0 ,$0.01 ,-,"$150,000 ",0.04x,-,IDO,Enjinstarter,Apr 11,2022/11/12
90,Avania NOVA,-,$0.08 ,-,"$190,000 ",-,-,IDO,TrustPad,Apr 10,2022/11/12
91,Sugar Kingdom CANDY,$0.01 ,$0.16 ,-,"$190,000 ",0.09x,-,IDO,TrustPad,Apr 09,2022/11/12
92,Sugar Kingdom CANDY,$0.01 ,-,-,"$40,000 ",-,-,Private 2,TrustPad,Apr 09,2022/11/12
93,Drunk Robots METAL,-,$0.01 ,-,"$50,000 ",-,-,IDO,TrustPad,Apr 07,2022/11/12
94,Drunk Robots METAL,-,$0.01 ,-,"$200,000 ",-,-,IDO,GameFi,Apr 07,2022/11/12
95,Bountie Hunter BOUNTIE,$0 ,$0.02 ,"$2,026 ","$100,000 ",0.02x,-,IDO,Kommunitas,Apr 06,2022/11/12
96,Animverse ANM,-,$0.02 ,-,"$100,000 ",-,-,IDO,BSCStation,Apr 05,2022/11/12
97,Bountie Hunter BOUNTIE,$0 ,$0.02 ,"$2,026 ","$100,000 ",0.02x,-,IDO,Infinity Pad,Apr 05,2022/11/12
98,Bountie Hunter BOUNTIE,$0 ,$0.02 ,"$2,026 ","$150,000 ",0.02x,-,IDO,Enjinstarter,Apr 04,2022/11/12
99,Animverse ANM,-,$0.02 ,-,"$60,000 ",-,-,IDO,LuaStarter,Apr 03,2022/11/12
100,MetaFighter MF,$0 ,$0.01 ,-,"$243,679 ",0.04x,-,IDO,GameStation,Apr 01,2022/11/12
101,Mollector MOL,-,-,-,"$4,500 ",-,-,Private,Kingdom Game 4.0,Mar 31,2022/11/12
102,Vulcano VULC,$0 ,$0.10 ,-,"$130,000 ",0.02x,-,IDO,BullPerks,Mar 31,2022/11/12
103,Mollector MOL,-,-,-,"$30,000 ",-,-,IDO,Kingdom Game 4.0,Mar 30,2022/11/12
104,MStation MST,-,-,-,-,-,-,IDO,Kingdom Game 4.0,Mar 30,2022/11/12
105,Vulcano VULC,$0 ,$0.10 ,-,"$200,000 ",0.02x,-,IDO,GameFi,Mar 30,2022/11/12
106,Raiders NFT R4ID,-,$0 ,-,"$50,000 ",-,-,IDO,CyberFi,Mar 30,2022/11/12
107,Bountie Hunter BOUNTIE,$0 ,-,"$2,026 ","$30,000 ",-,-,Private,MoonStarter,Mar 30,2022/11/12
108,MetaChess SHAH,$0 ,$0.04 ,-,"$304,000 ",-,-,IDO,TrustPad,Mar 29,2022/11/12
109,Mecha Morphing -,-,$0.40 ,-,"$400,000 ",-,-,IDO,Polkastarter,Mar 29,2022/11/12
110,Dead Knight DKM,$0 ,$0.03 ,-,"$50,000 ",-,-,IDO,MoonStarter,Mar 29,2022/11/12
111,Nunu Spirits NNT,$0.01 ,$0.06 ,-,"$50,000 ",0.32x,-,IDO,DAOLaunch,Mar 29,2022/11/12
112,MStation MST,-,$0.18 ,-,-,-,-,IDO,BinStarter,Mar 29,2022/11/12
113,MetaFighter MF,$0 ,$0.01 ,-,"$110,000 ",0.04x,-,IDO,BullPerks,Mar 29,2022/11/12
114,Dead Knight DKM,$0 ,$0.03 ,-,"$150,000 ",-,-,IDO,TrustPad,Mar 28,2022/11/12
115,Mollector MOL,-,$0.01 ,-,"$100,000 ",-,-,IDO,LuaStarter,Mar 28,2022/11/12
116,MetaChess SHAH,$0 ,$0.04 ,-,"$30,000 ",-,-,IDO,Koistarter,Mar 28,2022/11/12
117,Mollector MOL,-,$0.01 ,-,"$100,000 ",-,-,IDO,DAOLaunch,Mar 27,2022/11/12
118,MetaFighter MF,$0 ,-,-,"$50,000 ",-,-,Private 2,Synapse Network,Mar 27,2022/11/12
119,Dark Land Survival BIG,$0 ,$0.05 ,-,"$100,000 ",0.02x,-,IDO,Krystal GO,Mar 26,2022/11/12
120,Nomad Exile PRIDE,-,$0.10 ,-,"$250,000 ",-,-,IDO,Kommunitas,Mar 26,2022/11/12
121,Nomad Exile PRIDE,-,$0.10 ,-,"$100,000 ",-,-,IDO,Polkabridge,Mar 26,2022/11/12
122,Samurai Legends SMG,$0 ,$0.06 ,"$187,101 ","$380,000 ",0.06x,-,IDO,TrustPad,Mar 25,2022/11/12
123,MetaFighter MF,$0 ,$0.01 ,-,"$97,500 ",0.04x,-,IDO,TrustSwap,Mar 25,2022/11/12
124,Dark Land Survival BIG,$0 ,$0.05 ,-,"$100,000 ",0.02x,-,IDO,LuaStarter,Mar 25,2022/11/12
125,MStation MST,-,$0.18 ,-,"$234,000 ",-,-,IDO,BSCStation,Mar 25,2022/11/12
126,MStation MST,-,$0.18 ,-,"$80,000 ",-,-,IDO,DAOLaunch,Mar 25,2022/11/12
127,Sugar Kingdom CANDY,$0.01 ,$0.16 ,-,"$100,000 ",0.09x,-,IDO,DuckSTARTER,Mar 25,2022/11/12
128,Creo Engine CREO,-,$0.04 ,-,"$100,000 ",-,-,IDO,MoonStarter,Mar 25,2022/11/12
129,Creo Engine CREO,-,$0.04 ,-,"$100,000 ",-,-,IDO,Synapse Network,Mar 25,2022/11/12
130,Dark Land Survival BIG,$0 ,$0.05 ,-,"$146,250 ",0.02x,-,IDO,TrustPad,Mar 24,2022/11/12
131,Karmaverse KNOT,$0.05 ,$0.50 ,-,"$200,000 ",0.1x,-,IDO,PAID Network,Mar 24,2022/11/12
132,Supernova SNT,$0.01 ,$0.30 ,-,"$500,000 ",0.05x,-,IDO,Seedify,Mar 24,2022/11/12
133,Supernova SNT,$0.01 ,$0.30 ,-,"$150,000 ",0.05x,-,IDO,Kommunitas,Mar 23,2022/11/12
134,Hoglympics HOGS,-,$0.02 ,-,"$50,000 ",-,-,IDO,Starter,Mar 23,2022/11/12
135,Dragon War DRAW,$0 ,$0.01 ,-,"$142,000 ",0.09x,-,IDO,Solanium,Mar 23,2022/11/12
136,Dragon War DRAW,$0 ,$0.01 ,-,"$100,000 ",0.09x,-,IDO,Red Kite,Mar 23,2022/11/12
137,Penguin Karts PGK,-,$0.04 ,-,"$100,000 ",-,-,IDO,FantomStarter,Mar 23,2022/11/12
138,GAMI GAMI,$0.31 ,$0.10 ,"$10,693,535 ","$100,000 ",3.12x,-,IDO,FantomStarter,Mar 23,2022/11/12
139,Nomad Exile PRIDE,-,$0.10 ,-,"$190,000 ",-,-,IDO,TrustPad,Mar 23,2022/11/12
140,Supernova SNT,$0.01 ,-,-,"$200,000 ",-,-,Private,Seedify,Mar 23,2022/11/12
141,Galaxy Blitz MIT,$0.21 ,$1 ,"$1,041,566 ","$190,000 ",0.21x,-,IDO,TrustPad,Mar 22,2022/11/12
142,Penguin Karts PGK,-,$0.04 ,-,"$400,000 ",-,-,IDO,Seedify,Mar 22,2022/11/12
143,Nomad Exile PRIDE,-,$0.10 ,-,"$150,000 ",-,-,IDO,MoonStarter,Mar 22,2022/11/12
144,Wizardia WZRD,$0 ,$0.12 ,-,"$50,000 ",0.03x,-,IDO,DAOLaunch,Mar 22,2022/11/12
145,Wizardia WZRD,$0 ,$0.12 ,-,"$200,000 ",0.03x,-,IDO,Enjinstarter,Mar 22,2022/11/12
146,MStation MST,-,$0.18 ,-,"$250,000 ",-,-,IDO,LaunchZone,Mar 22,2022/11/12
147,Penguin Karts PGK,-,$0.04 ,-,"$190,000 ",-,-,IDO,TrustPad,Mar 21,2022/11/12
148,Galaxy Blitz MIT,$0.21 ,$1 ,"$1,041,566 ","$100,000 ",0.21x,-,IDO,Infinite Launch,Mar 20,2022/11/12
149,Penguin Karts PGK,-,$0.04 ,-,"$125,000 ",-,-,IDO,BullPerks,Mar 20,2022/11/12
150,Nomad Exile PRIDE,-,$0.10 ,-,"$200,000 ",-,-,IDO,Gamestarter,Mar 20,2022/11/12
151,GameYoo GYC,$0 ,$0.18 ,-,"$50,000 ",-,-,IDO,DAOLaunch,Mar 19,2022/11/12
152,Nomad Exile PRIDE,-,$0.10 ,-,"$50,000 ",-,-,IDO,DAOLaunch,Mar 19,2022/11/12
153,Wizardia WZRD,$0 ,$0.12 ,-,"$200,000 ",0.03x,-,IDO,TrustPad,Mar 19,2022/11/12
154,Galaxy Blitz MIT,$0.21 ,$1 ,"$1,041,566 ","$200,000 ",0.21x,-,IDO,BinStarter,Mar 18,2022/11/12
155,MechaChain MECHA,$0 ,$0.70 ,"$2,232 ","$100,000 ",-,-,IDO,Kommunitas,Mar 18,2022/11/12
156,Ashward ASC,$0 ,$0.03 ,-,"$100,000 ",0.02x,-,IDO,Krystal GO,Mar 18,2022/11/12
157,MechaChain MECHA,$0 ,$0.70 ,"$2,232 ","$75,000 ",-,-,IDO,TruePNL,Mar 18,2022/11/12
158,MUNDO $MUNDO,$0 ,$0.18 ,-,"$400,000 ",0.01x,-,IDO,PAID Network,Mar 18,2022/11/12
159,Galaxy Blitz MIT,$0.21 ,$1 ,"$1,041,566 ","$50,000 ",0.21x,-,IDO,LuaStarter,Mar 18,2022/11/12
160,Nomad Exile PRIDE,-,$0.10 ,-,"$400,000 ",-,-,IDO,Seedify,Mar 18,2022/11/12
161,Wizardia WZRD,$0 ,$0.12 ,-,"$100,000 ",0.03x,-,IDO,Roseon Finance,Mar 18,2022/11/12
162,GameYoo GYC,$0 ,-,-,"$218,559 ",-,-,IDO,TrustPad,Mar 18,2022/11/12
163,Time Raiders XPND,-,$0.02 ,-,"$200,000 ",-,-,IDO,Enjinstarter,Mar 17,2022/11/12
164,MUNDO $MUNDO,$0 ,$0.18 ,-,"$190,018 ",0.01x,-,IDO,TrustPad,Mar 17,2022/11/12
165,Time Raiders XPND,-,$0.02 ,-,"$200,000 ",-,-,IDO,BinStarter,Mar 17,2022/11/12
166,Time Raiders XPND,-,$0.02 ,-,"$150,000 ",-,-,IDO,Synapse Network,Mar 17,2022/11/12
167,Nomad Exile PRIDE,-,$0.10 ,-,"$100,000 ",-,-,IDO,TruePNL,Mar 17,2022/11/12
168,Time Raiders XPND,-,-,-,"$50,000 ",-,-,Private 2,Synapse Network,Mar 17,2022/11/12
169,MetaFighter MF,$0 ,-,-,"$150,000 ",-,-,Private,Roseon Finance,Mar 17,2022/11/12
170,CryptoZeroFi ZERI,$0 ,-,-,"$20,000 ",-,-,Private,Kingdom Game 4.0,Mar 16,2022/11/12
171,GAMI GAMI,$0.31 ,$0.10 ,"$10,693,535 ","$200,000 ",3.12x,-,IDO,Roseon Finance,Mar 16,2022/11/12
172,Etermon ETM,$0.01 ,$0.02 ,"$630,334 ","$80,000 ",0.79x,-,IDO,ZeeDO,Mar 16,2022/11/12
173,Time Raiders XPND,-,-,-,"$150,000 ",-,-,Private 2,Enjinstarter,Mar 16,2022/11/12
174,Infinity Arena INAZ,$0 ,-,-,"$10,000 ",-,-,Private,Kingdom Game 4.0,Mar 15,2022/11/12
