,Name,Investor Type,Total Investment,Current ROI,Ath ROI,Top3 ROI,Time of Crawl
1,quest-capital,Crypto Ventures,1,31.61x,336.94x,PlayDapp(31.61x ),2022/11/12
2,vestigium,,1,31.61x,336.94x,PlayDapp(31.61x ),2022/11/12
3,blocore,,4,31.61x,336.94x,PlayDapp(31.61x ),2022/11/12
4,scalar-capital,Crypto Ventures,2,25.08x,"1,117x",Yield Guild Games(24.9x ),2022/11/12
5,gumi-cryptos,,4,25.08x,"1,117x",Yield Guild Games(24.9x ),2022/11/12
6,flamingodao,,2,25.08x,"1,117x",Yield Guild Games(24.9x ),2022/11/12
7,r930-capital,Crypto Ventures,2,21.43x,"1,316.16x","Blackpool(41.02x ), Last Survivor(0.09x )",2022/11/12
8,blocktower-capital,,3,20.85x,502.55x,"PlayDapp(31.61x ), Yield Guild Games(24.9x ), League of Kingdoms(5.86x )",2022/11/12
9,bitscale-capital,Crypto Ventures,10,18.42x,591.51x,"Yield Guild Games(24.9x ), My Neighbor Alice(24.6x ), Yield Guild Games(5.53x )",2022/11/12
10,sevenx-ventures,,6,15.32x,682.61x,"Yield Guild Games(24.9x ), Yield Guild Games(5.53x )",2022/11/12
11,ascensive-assets,Crypto Ventures,5,15.32x,682.61x,"Yield Guild Games(24.9x ), Yield Guild Games(5.53x )",2022/11/12
12,free-company,,3,15.32x,682.61x,"Yield Guild Games(24.9x ), Yield Guild Games(5.53x )",2022/11/12
13,btx-capital,,3,14.77x,285.08x,"My Neighbor Alice(24.6x ), X World Games(4.94x )",2022/11/12
14,rarestone-capital,Crypto Ventures,6,13.02x,266.05x,"My Neighbor Alice(24.6x ), Faraland(1.44x )",2022/11/12
15,delphi-digital,Crypto Ventures,22,12.56x,559.64x,"Yield Guild Games(24.9x ), Crypto Raiders(0.03x )",2022/11/12
16,avalanche,Project Based,5,8.8x,536.83x,"Bloktopia(32.06x ), Crabada(1.43x ), Heroes Chained(1.11x )",2022/11/12
17,coin98-ventures,Project Based,13,8.8x,184.51x,"My Neighbor Alice(24.6x ), Faraland(1.44x ), Elpis Battle(0.36x )",2022/11/12
18,animoca-brands,Project Based,77,7.9x,383.9x,"Bloktopia(32.06x ), Yield Guild Games(24.9x ), Rainmaker Games(6.91x )",2022/11/12
19,coinfund,,4,6.91x,137x,Rainmaker Games(6.91x ),2022/11/12
20,arkn,Crypto Ventures,1,6.02x,"1,555x",Geopoly(6.02x ),2022/11/12
21,kent-capital-vc,Crypto Ventures,2,6.02x,"1,555x",Geopoly(6.02x ),2022/11/12
22,sequoia-capital,Non-Crypto Capital,6,5.86x,53.7x,League of Kingdoms(5.86x ),2022/11/12
23,binance-labs,,9,5.86x,53.7x,League of Kingdoms(5.86x ),2022/11/12
24,andreessen-horowitz,Non-Crypto Capital,15,5.72x,150.96x,"League of Kingdoms(5.86x ), Yield Guild Games(5.53x )",2022/11/12
25,ideo-colab-ventures,Crypto Ventures,4,5.57x,248.22x,Yield Guild Games(5.53x ),2022/11/12
26,a.-capital-ventures,Non-Crypto Capital,2,5.57x,248.22x,Yield Guild Games(5.53x ),2022/11/12
27,bitkraft-ventures,,18,5.57x,248.22x,Yield Guild Games(5.53x ),2022/11/12
28,greenfield-one,,2,5.57x,248.22x,Yield Guild Games(5.53x ),2022/11/12
29,solana-capital,Crypto Ventures,8,5.56x,831.25x,"Geopoly(6.02x ), MonkeyLeague(5.11x )",2022/11/12
30,polygon-studios,Crypto Ventures,25,5.38x,264.77x,"Bloktopia(32.06x ), Yield Guild Games(24.9x ), Rainmaker Games(6.91x )",2022/11/12
31,nfx,Non-Crypto Capital,5,5.11x,107.5x,MonkeyLeague(5.11x ),2022/11/12
32,republic-labs,,2,5.11x,107.5x,MonkeyLeague(5.11x ),2022/11/12
33,jump-trading,Crypto Ventures,1,5.11x,107.5x,MonkeyLeague(5.11x ),2022/11/12
34,snz-holding,,2,4.94x,160.88x,X World Games(4.94x ),2022/11/12
35,fbg-capital,,7,4.94x,160.88x,X World Games(4.94x ),2022/11/12
36,cryptodiffer,,3,4.94x,160.88x,X World Games(4.94x ),2022/11/12
37,preangelfund,,2,4.94x,160.88x,X World Games(4.94x ),2022/11/12
38,longling-capital,,3,4.94x,160.88x,X World Games(4.94x ),2022/11/12
39,mechanism-capital,Crypto Ventures,18,4.9x,153.5x,"Yield Guild Games(5.53x ), Decimated(4.24x )",2022/11/12
40,genblock-capital,Crypto Ventures,21,4.61x,222.62x,"Bloktopia(32.06x ), Rainmaker Games(6.91x ), Metarun(0.65x )",2022/11/12
41,cointelligence-fund,Crypto Ventures,3,4.59x,134.16x,"Moonscape(4.94x ), Decimated(4.24x )",2022/11/12
42,parafi-capital,Crypto Ventures,5,4.38x,127.29x,"Yield Guild Games(5.53x ), MetaSoccer(3.18x )",2022/11/12
43,polygon,,15,4.24x,58.79x,Decimated(4.24x ),2022/11/12
44,cms-holdings,Crypto Ventures,7,4.2x,90.59x,"Rainmaker Games(6.91x ), MonkeyLeague(5.11x ), Imperium Empires(0.57x )",2022/11/12
45,alameda-research,Crypto Ventures,20,4.09x,86.33x,"Rainmaker Games(6.91x ), Decimated(4.24x ), Roco Finance(1.13x )",2022/11/12
46,genesis-block-ventures,Crypto Ventures,10,3.65x,81.91x,"My Neighbor Alice(24.6x ), Realm(1.97x ), Cricket Star Manager(1.06x )",2022/11/12
47,borderless-capital,,2,3.64x,273.12x,GridZone.io(3.64x ),2022/11/12
48,ngc-ventures,Crypto Ventures,21,3.6x,108.06x,"My Neighbor Alice(24.6x ), X World Games(4.94x ), Realm(1.97x )",2022/11/12
49,merit-circle,Project Based,25,3.47x,69.64x,"Rainmaker Games(6.91x ), Crypto Raiders(0.03x )",2022/11/12
50,metavest-capital,Crypto Ventures,5,3.18x,126.01x,"Decimated(4.24x ), SIDUS(2.13x )",2022/11/12
51,ruby-capital,,1,3.07x,254.67x,Project SEED(3.07x ),2022/11/12
52,lpi-dao,Crypto Ventures,3,3.03x,778.74x,"Geopoly(6.02x ), Gamesta(0.04x )",2022/11/12
53,black-edge-capital,,2,3x,105.78x,"Moonscape(4.94x ), Cricket Star Manager(1.06x )",2022/11/12
54,solidity-ventures,,2,3x,105.78x,"Moonscape(4.94x ), Cricket Star Manager(1.06x )",2022/11/12
55,blockchain-founders-fund,Crypto Ventures,3,2.97x,59.17x,Splinterlands(2.97x ),2022/11/12
56,enjin,Project Based,2,2.97x,59.17x,Splinterlands(2.97x ),2022/11/12
57,alpha-sigma-capital,Crypto Ventures,1,2.97x,59.17x,Splinterlands(2.97x ),2022/11/12
58,age-crypto-fund,Crypto Ventures,1,2.97x,59.17x,Splinterlands(2.97x ),2022/11/12
59,spartan-group,Crypto Ventures,22,2.84x,38.2x,"Decimated(4.24x ), Starly(1.43x )",2022/11/12
60,kairon-labs,Crypto Ventures,2,2.8x,106.82x,"Moonscape(4.94x ), Metarun(0.65x )",2022/11/12
61,longhash-ventures,Crypto Ventures,6,2.78x,61.01x,"MonkeyLeague(5.11x ), KingdomX(0.46x )",2022/11/12
62,three-m-capital,,3,2.75x,137.06x,"Decimated(4.24x ), Chumbi Valley(1.26x )",2022/11/12
63,sky-vision-capital,Crypto Ventures,21,2.67x,108.96x,"Rainmaker Games(6.91x ), League of Kingdoms(5.86x ), Moonscape(4.94x )",2022/11/12
64,hashed,Crypto Ventures,18,2.24x,48.2x,"League of Kingdoms(5.86x ), Gunstar Metaverse(1.7x ), MetaGods(1.04x )",2022/11/12
65,bixin-ventures,,3,2.22x,73.91x,"Decimated(4.24x ), Zuki Moba(0.2x )",2022/11/12
66,angelone-capital,,2,2.09x,44.75x,Gamestarter(2.09x ),2022/11/12
67,mgnr,Crypto Ventures,1,2.09x,44.75x,Gamestarter(2.09x ),2022/11/12
68,bap-ventures,Non-Crypto Capital,1,2.08x,105.1x,Pegaxy(2.08x ),2022/11/12
69,maven-capital,Crypto Ventures,45,2.02x,148.47x,"Blackpool(41.02x ), Cryowar(2.31x ), SIDUS(2.13x )",2022/11/12
70,shima-capital,Crypto Ventures,43,2x,107x,"Bloktopia(32.06x ), Gamestarter(2.09x ), Metastrike(1.51x )",2022/11/12
71,global-blockchain-innovative-capital,,1,1.97x,144x,Realm(1.97x ),2022/11/12
72,consensus-capital,,2,1.92x,126.06x,"My DeFi Pet(3.73x ), Metan Evolutions(0.12x )",2022/11/12
73,digital-finance-group,Crypto Ventures,3,1.9x,128.94x,"My DeFi Pet(3.73x ), Kawaii Islands(0.06x )",2022/11/12
74,oig-oracles-investment-group,Crypto Ventures,40,1.88x,178.09x,"Blackpool(41.02x ), Geopoly(6.02x ), Project SEED(3.07x )",2022/11/12
75,altonomy,Crypto Ventures,4,1.84x,142.54x,"GridZone.io(3.64x ), Cryptia(0.04x )",2022/11/12
76,tag-ventures,Crypto Ventures,5,1.82x,159.62x,"GridZone.io(3.64x ), Pegaxy(2.08x ), Wanaka Farm(1.3x )",2022/11/12
77,pluto-digital-assets,Project Based,10,1.72x,50.24x,"Moonscape(4.94x ), Decimated(4.24x ), Snook(1.43x )",2022/11/12
78,moonboots-capital,,4,1.71x,219x,"Moonscape(4.94x ), Dreams Quest(1.03x ), Nakamoto Games(0.78x )",2022/11/12
79,kyros-ventures,Crypto Ventures,43,1.7x,61.02x,"My Neighbor Alice(24.6x ), X World Games(4.94x ), MetaSoccer(3.18x )",2022/11/12
80,good-games-guild,Project Based,11,1.68x,32.84x,"Decimated(4.24x ), Heroes Chained(1.11x ), Arenum(0.91x )",2022/11/12
81,chain-capital,,3,1.67x,56.48x,"X World Games(4.94x ), Gamesta(0.04x ), The Realm Defenders(0.04x )",2022/11/12
82,three-lions-capital,Crypto Ventures,1,1.61x,61.33x,Affyn(1.61x ),2022/11/12
83,defiance-capital,Crypto Ventures,18,1.6x,4.32x,"MetaSoccer(3.18x ), Crypto Raiders(0.03x )",2022/11/12
84,3commas,Crypto Ventures,9,1.6x,31.02x,"Splinterlands(2.97x ), Legends of Mitra(0.23x )",2022/11/12
85,polkastarter,,3,1.57x,73.5x,"WonderHero(2.58x ), Blockchain Monster Hunt(0.56x )",2022/11/12
86,megala-ventures,,7,1.55x,122.82x,"My DeFi Pet(3.73x ), Heroes & Empires(0.46x ), PlaceWar(0.46x )",2022/11/12
87,zbs-capital,Crypto Ventures,60,1.53x,92.03x,"Bloktopia(32.06x ), MonkeyLeague(5.11x ), X World Games(4.94x )",2022/11/12
88,insignius-capital,Crypto Ventures,7,1.52x,268.73x,"Geopoly(6.02x ), Project SEED(3.07x ), Nakamoto Games(0.78x )",2022/11/12
89,jump-capital,Crypto Ventures,12,1.51x,77.34x,Metastrike(1.51x ),2022/11/12
90,gem-capital,Crypto Ventures,5,1.51x,36.53x,"Decimated(4.24x ), ASPO World(0.19x ), Last Survivor(0.09x )",2022/11/12
91,black-ventures,Crypto Ventures,2,1.5x,165.38x,"Gunstar Metaverse(1.7x ), Wanaka Farm(1.3x )",2022/11/12
92,huobi-capital,Exchange Fund,12,1.48x,43.45x,"Decimated(4.24x ), Roco Finance(1.13x ), Nitro League(0.36x )",2022/11/12
93,x21-digital,Crypto Ventures,77,1.47x,103.53x,"Bloktopia(32.06x ), My Neighbor Alice(24.6x ), Geopoly(6.02x )",2022/11/12
94,marshland-capital,Crypto Ventures,2,1.45x,94.2x,"Realm(1.97x ), DinoX(0.93x )",2022/11/12
95,pnyx-ventures,Crypto Ventures,2,1.44x,122.8x,Faraland(1.44x ),2022/11/12
96,dokia-capital,Project Based,1,1.43x,33.1x,Snook(1.43x ),2022/11/12
97,6th-man-ventures,Crypto Ventures,7,1.43x,33.1x,Snook(1.43x ),2022/11/12
98,swiss-gem-investments-swgi,Crypto Ventures,1,1.43x,33.1x,Snook(1.43x ),2022/11/12
99,psquare-capital,,1,1.43x,33.1x,Snook(1.43x ),2022/11/12
100,spark-digital-capital,Crypto Ventures,23,1.43x,82.19x,"Decimated(4.24x ), My DeFi Pet(3.73x ), Gunstar Metaverse(1.7x )",2022/11/12
101,spark-digital-capital,Crypto Ventures,23,1.43x,82.19x,"Decimated(4.24x ), My DeFi Pet(3.73x ), Gunstar Metaverse(1.7x )",2022/11/12
102,zee-prime-capital,,3,1.43x,296x,Crabada(1.43x ),2022/11/12
103,axia8-ventures,Crypto Ventures,6,1.43x,89.58x,"My DeFi Pet(3.73x ), Starly(1.43x ), Nitro League(0.36x )",2022/11/12
104,clovers-ventures,Crypto Ventures,4,1.4x,125.9x,"My DeFi Pet(3.73x ), Warena(0.26x ), Zuki Moba(0.2x )",2022/11/12
105,magnus-capital,Crypto Ventures,46,1.4x,88.86x,"Bloktopia(32.06x ), Realm(1.97x ), Gunstar Metaverse(1.7x )",2022/11/12
106,moonrock-capital,Crypto Ventures,8,1.39x,47.12x,"Realm(1.97x ), Ternoa(1.52x ), Starly(1.43x )",2022/11/12
107,banter-capital,Crypto Ventures,16,1.39x,65.54x,"MonkeyLeague(5.11x ), Moonscape(4.94x ), SIDUS(2.13x )",2022/11/12
108,coincurb,,2,1.36x,40.2x,"Gamestarter(2.09x ), Kaby Arena(0.63x )",2022/11/12
109,cmc-capital,Crypto Ventures,2,1.35x,119.1x,"SIDUS(2.13x ), Green Beli(0.56x )",2022/11/12
110,au21-capital,Crypto Ventures,61,1.29x,128.81x,"Bloktopia(32.06x ), Geopoly(6.02x ), Trade Race Manager(2.19x )",2022/11/12
111,moonknight-labs,Crypto Ventures,1,1.27x,222.67x,Elemon(1.27x ),2022/11/12
112,cryptonation,Marketing Support,1,1.27x,222.67x,Elemon(1.27x ),2022/11/12
113,marcius-capital,Crypto Ventures,1,1.26x,35.75x,Polygonum Online(1.26x ),2022/11/12
114,orion-protocol,Project Based,2,1.26x,215.33x,Chumbi Valley(1.26x ),2022/11/12
115,solar-eco-fund,,8,1.14x,155.63x,"Cryowar(2.31x ), Space Falcon(0.71x ), Starbots(0.42x )",2022/11/12
116,ava-labs,,2,1.13x,63.2x,Roco Finance(1.13x ),2022/11/12
117,ac-capital,,4,1.13x,32.83x,"Gamestarter(2.09x ), Demole(0.2x )",2022/11/12
118,hoop-ventures,Crypto Ventures,1,1.13x,63.2x,Roco Finance(1.13x ),2022/11/12
119,vendetta-capital,Crypto Ventures,11,1.12x,117.06x,"Project SEED(3.07x ), Cryowar(2.31x ), Ternoa(1.52x )",2022/11/12
120,yield-guild-games,Project Based,26,1.12x,21.71x,"Splinterlands(2.97x ), Nitro League(0.36x ), Crypto Raiders(0.03x )",2022/11/12
121,nodeseeds,Project Based,2,1.12x,8.68x,Wizardia(1.12x ),2022/11/12
122,bering-waters,,1,1.11x,41.25x,Heroes Chained(1.11x ),2022/11/12
123,hello-capital,Crypto Ventures,1,1.11x,36.4x,Dark Frontiers(1.11x ),2022/11/12
124,kosmos-ventures,,2,1.11x,41.25x,Heroes Chained(1.11x ),2022/11/12
125,avalon-wealth-club,Crypto Ventures,10,1.09x,232.57x,"Geopoly(6.02x ), Revolve Games(0.8x ), Stay In Destiny World(0.51x )",2022/11/12
126,wings-ventures,Crypto Ventures,4,1.08x,80.62x,"Gunstar Metaverse(1.7x ), Heroes & Empires(0.46x )",2022/11/12
127,gd10-ventures,Crypto Ventures,27,1.07x,158.78x,"Geopoly(6.02x ), Project SEED(3.07x ), Cryowar(2.31x )",2022/11/12
128,evangelion-capital,,4,1.06x,28.36x,"Gamestarter(2.09x ), Cryptia(0.04x )",2022/11/12
129,lavender-capital,Crypto Ventures,5,1.06x,94.24x,"Orbitau(1.39x ), Chumbi Valley(1.26x ), Ftribe Fighters(0.54x )",2022/11/12
130,sl2-capital,,12,1.05x,206.88x,"Realm(1.97x ), Dreams Quest(1.03x ), Zodium(0.83x )",2022/11/12
131,peech-capital,,6,1.04x,18.42x,"MetaSoccer(3.18x ), DinoX(0.93x ), Space Falcon(0.71x )",2022/11/12
132,bullish-unicorn,Marketing Support,1,1.03x,606.66x,Dreams Quest(1.03x ),2022/11/12
133,twin-apex-capital,,4,1.03x,606.66x,Dreams Quest(1.03x ),2022/11/12
134,avalaunch,Project Based,6,0.99x,120.86x,"Crabada(1.43x ), Roco Finance(1.13x ), Heroes Chained(1.11x )",2022/11/12
135,red-beard-ventures,,7,0.98x,86.9x,,2022/11/12
136,zen-capital,Crypto Ventures,1,0.97x,38.29x,Ertha(0.97x ),2022/11/12
137,dialectic-capital,,7,0.97x,38.29x,Ertha(0.97x ),2022/11/12
138,stacker-ventures-dao,Project Based,2,0.96x,25.56x,"Wizardia(1.12x ), Revolve Games(0.8x )",2022/11/12
139,master-ventures,Crypto Ventures,17,0.95x,85.68x,"Decimated(4.24x ), Cryowar(2.31x ), Metastrike(1.51x )",2022/11/12
140,dec-ventures,Crypto Ventures,6,0.94x,79.43x,"SIDUS(2.13x ), Wam(1x ), SpaceY 2025(0.5x )",2022/11/12
141,idoresearch.ventures,Crypto Ventures,3,0.94x,45.26x,"Polygonum Online(1.26x ), Ninneko(0.63x )",2022/11/12
142,paradigm,,5,0.93x,67.78x,Moo Monster(0.93x ),2022/11/12
143,almora-capital,Crypto Ventures,4,0.92x,116.15x,"SIDUS(2.13x ), Nunu Spirits(0.61x ), Hydraverse(0.03x )",2022/11/12
144,paka-capital,,1,0.92x,90.19x,Seascape Crowns(0.92x ),2022/11/12
145,alphabit-fund,Crypto Ventures,4,0.92x,113.53x,"Realm(1.97x ), Bomb Crypto(0.76x ), DeFi11(0.02x )",2022/11/12
146,reblock,Marketing Support,10,0.91x,26.36x,"MetaSoccer(3.18x ), Gamestarter(2.09x ), Polygonum Online(1.26x )",2022/11/12
147,black-dragon,Crypto Ventures,8,0.9x,163.4x,"Project SEED(3.07x ), Dreams Quest(1.03x ), Nakamoto Games(0.78x )",2022/11/12
148,ibc-group,Crypto Ventures,5,0.9x,66.97x,"GridZone.io(3.64x ), Katana Inu(0.39x ), Spellfire(0.23x )",2022/11/12
149,tomochain,Project Based,3,0.87x,93.92x,"Wanaka Farm(1.3x ), WidiLand(0.89x ), Starbots(0.42x )",2022/11/12
150,lua-ventures,Crypto Ventures,4,0.87x,93.92x,"Wanaka Farm(1.3x ), WidiLand(0.89x ), Starbots(0.42x )",2022/11/12
151,starter-capital,Project Based,3,0.86x,39.72x,"Kryxivia(1.46x ), ProjectOasis(0.98x ), Starchi(0.13x )",2022/11/12
152,cinch-block,,10,0.86x,87.59x,"Realm(1.97x ), Chumbi Valley(1.26x ), MetaGods(1.04x )",2022/11/12
153,synapse-ventures,Project Based,6,0.85x,152.3x,"Cryowar(2.31x ), Kyberdyne(0.18x ), Yarloo(0.04x )",2022/11/12
154,metrix-capital,,15,0.84x,46.09x,"MetaSoccer(3.18x ), Snook(1.43x ), Polygonum Online(1.26x )",2022/11/12
155,momentum-6,Crypto Ventures,35,0.83x,91.96x,"Moonscape(4.94x ), My DeFi Pet(3.73x ), Pegaxy(2.08x )",2022/11/12
156,gains-associates,,20,0.83x,73.58x,"Decimated(4.24x ), Project SEED(3.07x ), Metastrike(1.51x )",2022/11/12
157,dao-maker,Project Based,24,0.83x,40.36x,"MetaSoccer(3.18x ), Gamestarter(2.09x ), Gunstar Metaverse(1.7x )",2022/11/12
158,evernew-capital,Crypto Ventures,2,0.83x,73.18x,Zodium(0.83x ),2022/11/12
159,bybit,,2,0.83x,73.18x,Zodium(0.83x ),2022/11/12
160,cryptothugs-capital,Crypto Ventures,3,0.82x,97.77x,"Elemon(1.27x ), H3RO3S(0.81x ), Monsta Infinite(0.37x )",2022/11/12
161,okex-blockdream-ventures,Exchange Fund,14,0.82x,54.1x,"My DeFi Pet(3.73x ), Celestial(2.29x ), Heroes Chained(1.11x )",2022/11/12
162,hodl,Crypto Ventures,1,0.8x,42.44x,Revolve Games(0.8x ),2022/11/12
163,kucoin-labs,Exchange Fund,11,0.8x,121.32x,"Chumbi Valley(1.26x ), Happy Land(0.34x )",2022/11/12
164,seedify,Crypto Ventures,3,0.8x,39.5x,"Metastrike(1.51x ), Last Survivor(0.09x )",2022/11/12
165,brilliance-ventures,,2,0.78x,27.74x,"Snook(1.43x ), TryHards(0.12x )",2022/11/12
166,ld-capital,Crypto Ventures,34,0.78x,51.28x,"Realm(1.97x ), Starly(1.43x ), Orbitau(1.39x )",2022/11/12
167,alves-ventures,Crypto Ventures,1,0.78x,55.92x,Nakamoto Games(0.78x ),2022/11/12
168,gamestarter,Project Based,2,0.78x,25.46x,"Dark Frontiers(1.11x ), KingdomX(0.46x )",2022/11/12
169,gate.io-labs,Exchange Fund,12,0.77x,35.36x,"Splinterlands(2.97x ), Wam(1x ), Infinity Skies(0.18x )",2022/11/12
170,kardia-ventures,,9,0.77x,81.64x,"My DeFi Pet(3.73x ), Bomb Crypto(0.76x ), OneRare(0.54x )",2022/11/12
171,onblock-ventures,Crypto Ventures,3,0.76x,110.99x,"Chumbi Valley(1.26x ), Cowboy Snake(0.26x )",2022/11/12
172,tk-ventures,Crypto Ventures,15,0.75x,97.72x,"Pegaxy(2.08x ), Wanaka Farm(1.3x ), Elemon(1.27x )",2022/11/12
173,trustdao-capital,Crypto Ventures,2,0.75x,123.57x,"Elemon(1.27x ), BaconDAO(0.23x )",2022/11/12
174,bullishblock-capital,Crypto Ventures,3,0.74x,58.13x,"Affyn(1.61x ), SpaceY 2025(0.5x ), Monster Battle(0.1x )",2022/11/12
175,ghaf-capital,Crypto Ventures,1,0.74x,46.37x,MetaGaming Guild(0.75x ),2022/11/12
176,dutch-crypto-investors,Crypto Ventures,47,0.73x,82.7x,"Geopoly(6.02x ), Decimated(4.24x ), Project SEED(3.07x )",2022/11/12
177,rok-capital,Crypto Ventures,7,0.72x,53.84x,"Heroes Chained(1.11x ), Zodium(0.83x ), Mech Master(0.21x )",2022/11/12
178,raptor-capital,,19,0.7x,65.84x,"Gunstar Metaverse(1.7x ), Polygonum Online(1.26x ), Chumbi Valley(1.26x )",2022/11/12
179,blockchain-israel,,1,0.7x,108.63x,Arker(0.7x ),2022/11/12
180,aventures-dao,Crypto Ventures,3,0.69x,62.12x,"Heroes Chained(1.11x ), TaleCraft(0.27x )",2022/11/12
181,roseon-finance,Crypto Ventures,9,0.69x,87.29x,"Cryowar(2.31x ), Wizardia(1.12x ), Moniwar(0.28x )",2022/11/12
182,lupa-x-capital,,5,0.68x,51.72x,"Snook(1.43x ), DinoX(0.93x ), Nunu Spirits(0.61x )",2022/11/12
183,asteroid-capital,Crypto Ventures,10,0.67x,57.69x,"SIDUS(2.13x ), Pegaxy(2.08x ), Chumbi Valley(1.26x )",2022/11/12
184,lucidblue-ventures,Crypto Ventures,12,0.67x,17.41x,"Ternoa(1.52x ), Wam(1x ), TryHards(0.12x )",2022/11/12
