,Name,Investor Type,Total Investment,Current ROI,Ath ROI,Top3 ROI,Time of Crawl
379,solana-foundation,,-,-,-,,2022/11/12
380,switchboard,Project Based,-,-,-,,2022/11/12
381,hc-capital,Crypto Ventures,-,-,-,,2022/11/12
382,pantera-capital,Crypto Ventures,-,-,-,,2022/11/12
383,cmt-digital,Crypto Ventures,-,-,-,,2022/11/12
384,fundamental-labs,Crypto Ventures,-,-,-,,2022/11/12
385,collabcurrency,Crypto Ventures,-,-,-,,2022/11/12
386,valhalla-capital,Crypto Ventures,-,-,-,,2022/11/12
387,konvoy-ventures,Crypto Ventures,-,-,-,,2022/11/12
388,old-fashion-research,Crypto Ventures,-,-,-,,2022/11/12
389,black-mamba-ventures,,-,-,-,,2022/11/12
390,solanium,Project Based,-,-,-,,2022/11/12
391,cipholio-ventures,Crypto Ventures,-,-,-,,2022/11/12
392,dragonfly-capital,Crypto Ventures,-,-,-,,2022/11/12
393,arrington-xrp-capital,Project Based,-,-,-,,2022/11/12
394,sfermion,,-,-,-,,2022/11/12
395,dcg-group,,-,-,-,,2022/11/12
396,gsr,,-,-,-,,2022/11/12
397,0xventures,Crypto Ventures,-,-,-,,2022/11/12
398,primeblock-ventures,Crypto Ventures,-,-,-,,2022/11/12
399,chainflow-capital,Crypto Ventures,-,-,-,,2022/11/12
400,bitcoin.com,,-,-,-,,2022/11/12
401,bitmart,Exchange Fund,-,-,-,,2022/11/12
402,near-foundation,Project Based,-,-,-,,2022/11/12
403,499-block,Crypto Ventures,-,-,-,,2022/11/12
404,newave-capital,Crypto Ventures,-,-,-,,2022/11/12
405,crypto.com-capital,Exchange Fund,-,-,-,,2022/11/12
406,coinbase-ventures,Exchange Fund,-,-,-,,2022/11/12
407,hashkey-capital,Crypto Ventures,-,-,-,,2022/11/12
408,mm-ventures,Crypto Ventures,-,-,-,,2022/11/12
409,ybb-foundation,Crypto Ventures,-,-,-,,2022/11/12
410,follow-the-seed,Crypto Ventures,-,-,-,,2022/11/12
411,synaps,Project Based,-,-,-,,2022/11/12
412,digital-strategies,,-,-,-,,2022/11/12
413,impossible-finance,Project Based,-,-,-,,2022/11/12
414,ht-ventures,Crypto Ventures,-,-,-,,2022/11/12
415,gfs-ventures,,-,-,-,,2022/11/12
416,foresight-ventures,Crypto Ventures,-,-,-,,2022/11/12
417,existential-capital,Crypto Ventures,-,-,-,,2022/11/12
418,drops-ventures,,-,-,-,,2022/11/12
419,gta-ventures,Crypto Ventures,-,-,-,,2022/11/12
420,launch-zone,Project Based,-,-,-,,2022/11/12
421,op-crypto,,-,-,-,,2022/11/12
422,citizenx-crypto-ventures,Crypto Ventures,-,-,-,,2022/11/12
423,formless-capital,Crypto Ventures,-,-,-,,2022/11/12
424,gcrypto,Marketing Support,-,-,-,,2022/11/12
425,fabric-ventures,,-,-,-,,2022/11/12
426,lambo-capital,Crypto Ventures,-,-,-,,2022/11/12
427,onchain-capital,,-,-,-,,2022/11/12
428,safelaunch,Project Based,-,-,-,,2022/11/12
429,b21-capital,Project Based,-,-,-,,2022/11/12
430,chainboost,Project Based,-,-,-,,2022/11/12
431,moonedge,Crypto Ventures,-,-,-,,2022/11/12
432,bayz,Project Based,-,-,-,,2022/11/12
433,atelier-ventures,,-,-,-,,2022/11/12
434,blockventure,Crypto Ventures,-,-,-,,2022/11/12
435,coinervn,Marketing Support,-,-,-,,2022/11/12
436,desi-crypto-trades,Marketing Support,-,-,-,,2022/11/12
437,paragen,Project Based,-,-,-,,2022/11/12
438,play-ventures,Crypto Ventures,-,-,-,,2022/11/12
439,outplay-entertainment,Non-Crypto Capital,-,-,-,,2022/11/12
440,pnetwork,Project Based,-,-,-,,2022/11/12
441,revel-lab,Crypto Ventures,-,-,-,,2022/11/12
442,third-prime-capital,,-,-,-,,2022/11/12
443,in-square-ventures,,-,-,-,,2022/11/12
444,jsquare,Crypto Ventures,-,-,-,,2022/11/12
445,llama-ventures,,-,-,-,,2022/11/12
446,crypto-banter,Marketing Support,-,-,-,,2022/11/12
447,the-lao,Crypto Ventures,-,-,-,,2022/11/12
448,zokyo-ventures,Security Support,-,-,-,,2022/11/12
449,a195-capital,Crypto Ventures,-,-,-,,2022/11/12
450,blockchain-capital,Crypto Ventures,-,-,-,,2022/11/12
451,protocol-ventures,Crypto Ventures,-,-,-,,2022/11/12
452,everest-ventures-group,,-,-,-,,2022/11/12
453,puzzle-ventures,,-,-,-,,2022/11/12
454,dapper-labs,Project Based,-,-,-,,2022/11/12
455,daoventures,Project Based,-,-,-,,2022/11/12
456,propeller,Crypto Ventures,-,-,-,,2022/11/12
457,6kstarter,Crypto Ventures,-,-,-,,2022/11/12
458,scorpio-vc,Crypto Ventures,-,-,-,,2022/11/12
459,fractal,Project Based,-,-,-,,2022/11/12
460,cryptoforce,Crypto Ventures,-,-,-,,2022/11/12
461,bring-finance,Project Based,-,-,-,,2022/11/12
462,chromia,Project Based,-,-,-,,2022/11/12
463,encrypted-investments,Crypto Ventures,-,-,-,,2022/11/12
464,o1ex,Crypto Ventures,-,-,-,,2022/11/12
465,pluto-alliance,Project Based,-,-,-,,2022/11/12
466,three-arrows-capital,,-,-,-,,2022/11/12
467,lavax-labs,IDO Launchpad,-,-,-,,2022/11/12
468,makers-fund,Entertainment Ventures,-,-,-,,2022/11/12
469,supercell,Game Development,-,-,-,,2022/11/12
470,heartcore-capital,Crypto Ventures,-,-,-,,2022/11/12
471,lifeline-ventures,Crypto Ventures,-,-,-,,2022/11/12
472,true-ventures,Crypto Ventures,-,-,-,,2022/11/12
473,safestone-technologies-ltd,Security Support,-,-,-,,2022/11/12
474,multicoin-capital,Crypto Ventures,-,-,-,,2022/11/12
475,kernel-ventures,,-,-,-,,2022/11/12
476,jrr-capital,Crypto Ventures,-,-,-,,2022/11/12
477,tenzor-capital,Crypto Ventures,-,-,-,,2022/11/12
478,mentha-partners,,-,-,-,,2022/11/12
479,deep-ventures,Crypto Ventures,-,-,-,,2022/11/12
480,eden-block,Crypto Ventures,-,-,-,,2022/11/12
481,moon-inc,Crypto Ventures,-,-,-,,2022/11/12
482,zmt-capital,Crypto Ventures,-,-,-,,2022/11/12
483,caballeros-capital,Crypto Ventures,-,-,-,,2022/11/12
484,deribit,,-,-,-,,2022/11/12
485,redline-dao,Crypto Ventures,-,-,-,,2022/11/12
486,stakez-capital,Crypto Ventures,-,-,-,,2022/11/12
487,arcanum-capital,Crypto Ventures,-,-,-,,2022/11/12
488,block-hype,Marketing Support,-,-,-,,2022/11/12
489,firex-capital,Crypto Ventures,-,-,-,,2022/11/12
490,osaz,Crypto Ventures,-,-,-,,2022/11/12
491,swissborg-ventures,,-,-,-,,2022/11/12
492,tokenomik,,-,-,-,,2022/11/12
493,inv-ventures,Crypto Ventures,-,-,-,,2022/11/12
494,avocado-guild,Crypto Ventures,-,-,-,,2022/11/12
495,kenetic-capital,,-,-,-,,2022/11/12
496,ubisoft,Non-Crypto Capital,-,-,-,,2022/11/12
497,ubisoft,Game Development,-,-,-,,2022/11/12
498,backed-venture-capital,Crypto Ventures,-,-,-,,2022/11/12
499,backed-venture-capital,Non-Crypto Capital,-,-,-,,2022/11/12
500,immutable-capital,Crypto Ventures,-,-,-,,2022/11/12
501,perion,Crypto Ventures,-,-,-,,2022/11/12
502,perion,DAO,-,-,-,,2022/11/12
503,breederdao,Crypto Ventures,-,-,-,,2022/11/12
504,breederdao,DAO,-,-,-,,2022/11/12
505,ygg-sea,Crypto Ventures,-,-,-,,2022/11/12
506,ygg-sea,DAO,-,-,-,,2022/11/12
507,guildfi,Crypto Ventures,-,-,-,,2022/11/12
508,guildfi,DAO,-,-,-,,2022/11/12
509,enzac-research,Crypto Ventures,-,-,-,,2022/11/12
510,galaxy-interactive,Non-Crypto Capital,-,-,-,,2022/11/12
511,galaxy-interactive,Entertainment Ventures,-,-,-,,2022/11/12
512,com2us,Game Development,-,-,-,,2022/11/12
513,play-it-forward-dao,Crypto Ventures,-,-,-,,2022/11/12
514,play-it-forward-dao,DAO,-,-,-,,2022/11/12
515,blockchainspace,Crypto Ventures,-,-,-,,2022/11/12
516,blockchainspace,DAO,-,-,-,,2022/11/12
517,panony,Crypto Ventures,-,-,-,,2022/11/12
518,conflux-network,Foundation,-,-,-,,2022/11/12
519,iotex,Foundation,-,-,-,,2022/11/12
520,dh-capital,Non-Crypto Capital,-,-,-,,2022/11/12
521,moonchase-asset-management,Crypto Ventures,-,-,-,,2022/11/12
522,folius-ventures,Crypto Ventures,-,-,-,,2022/11/12
523,fantom-foundation,Foundation,-,-,-,,2022/11/12
524,stride.vc,Crypto Ventures,-,-,-,,2022/11/12
525,entree-capital,Non-Crypto Capital,-,-,-,,2022/11/12
526,rlc-ventures,Non-Crypto Capital,-,-,-,,2022/11/12
527,northzone,Non-Crypto Capital,-,-,-,,2022/11/12
528,cherry-ventures,Non-Crypto Capital,-,-,-,,2022/11/12
529,moonfire-ventures,Crypto Ventures,-,-,-,,2022/11/12
530,better-capital,Non-Crypto Capital,-,-,-,,2022/11/12
531,cloud-capital,Crypto Ventures,-,-,-,,2022/11/12
532,cloud-capital,Non-Crypto Capital,-,-,-,,2022/11/12
533,indigg,Crypto Ventures,-,-,-,,2022/11/12
534,indigg,DAO,-,-,-,,2022/11/12
535,olivex,Crypto Ventures,-,-,-,,2022/11/12
536,arca,Developers Support,-,-,-,,2022/11/12
537,big-brain-holdings,Crypto Ventures,-,-,-,,2022/11/12
538,gbic,Crypto Ventures,-,-,-,,2022/11/12
539,hiro-capital,Crypto Ventures,-,-,-,,2022/11/12
540,korea-investment-partners,Non-Crypto Capital,-,-,-,,2022/11/12
541,lemniscap,Crypto Ventures,-,-,-,,2022/11/12
542,jumpcrypto,Crypto Ventures,-,-,-,,2022/11/12
543,patron,Crypto Ventures,-,-,-,,2022/11/12
544,rse-ventures,Crypto Ventures,-,-,-,,2022/11/12
545,lerer-hippeau,Crypto Ventures,-,-,-,,2022/11/12
546,mindfulness-capital,Crypto Ventures,-,-,-,,2022/11/12
547,tess-ventures,Crypto Ventures,-,-,-,,2022/11/12
548,sky9capital,Crypto Ventures,-,-,-,,2022/11/12
549,pathdao,Crypto Ventures,-,-,-,,2022/11/12
550,pathdao,DAO,-,-,-,,2022/11/12
551,aagventures,Crypto Ventures,-,-,-,,2022/11/12
552,floemcapital,Crypto Ventures,-,-,-,,2022/11/12
553,qcpcapital,Crypto Ventures,-,-,-,,2022/11/12
554,lunatic-capital,Crypto Ventures,-,-,-,,2022/11/12
555,opensea,Foundation,-,-,-,,2022/11/12
556,framework-ventures,Crypto Ventures,-,-,-,,2022/11/12
557,framework-ventures,Developers Support,-,-,-,,2022/11/12
558,warner-music-group,Non-Crypto Capital,-,-,-,,2022/11/12
559,tidal-ventures,Crypto Ventures,-,-,-,,2022/11/12
560,blocksync-ventures,Crypto Ventures,-,-,-,,2022/11/12
561,bluenode-capital,Crypto Ventures,-,-,-,,2022/11/12
562,anthoscapital,Crypto Ventures,-,-,-,,2022/11/12
563,anthoscapital,Non-Crypto Capital,-,-,-,,2022/11/12
564,ancient8,Crypto Ventures,-,-,-,,2022/11/12
565,ancient8,DAO,-,-,-,,2022/11/12
566,unix,Crypto Ventures,-,-,-,,2022/11/12
567,unix,DAO,-,-,-,,2022/11/12
568,transcent-fund,Crypto Ventures,-,-,-,,2022/11/12
569,flow-ventures,Crypto Ventures,-,-,-,,2022/11/12
570,virtual-human-studio,Crypto Ventures,-,-,-,,2022/11/12
571,synergia-capital,Crypto Ventures,-,-,-,,2022/11/12
572,galaxy-digital,Crypto Ventures,-,-,-,,2022/11/12
573,scrypt,Crypto Ventures,-,-,-,,2022/11/12
574,c-ventures,Crypto Ventures,-,-,-,,2022/11/12
575,c-ventures,Non-Crypto Capital,-,-,-,,2022/11/12
576,crossbeam,Crypto Ventures,-,-,-,,2022/11/12
577,springwind-ventures,Foundation,-,-,-,,2022/11/12
578,foundation-capital,Crypto Ventures,-,-,-,,2022/11/12
579,foundation-capital,Non-Crypto Capital,-,-,-,,2022/11/12
580,winklevoss-capital,Crypto Ventures,-,-,-,,2022/11/12
581,yuanyuzhou-ventures,Crypto Ventures,-,-,-,,2022/11/12
582,at-capital,Crypto Ventures,-,-,-,,2022/11/12
583,project-galaxy,Crypto Ventures,-,-,-,,2022/11/12
584,goat-capital,Crypto Ventures,-,-,-,,2022/11/12
585,xsquared-ventures,Crypto Ventures,-,-,-,,2022/11/12
586,softbank,Developers Support,-,-,-,,2022/11/12
587,mirae-asset-global-investments,,-,-,-,,2022/11/12
588,inveready,Crypto Ventures,-,-,-,,2022/11/12
589,inveready,Non-Crypto Capital,-,-,-,,2022/11/12
590,bonsaipartners,Crypto Ventures,-,-,-,,2022/11/12
591,bonsaipartners,Non-Crypto Capital,-,-,-,,2022/11/12
592,courtside-ventures,Crypto Ventures,-,-,-,,2022/11/12
593,alpaca-vc,Crypto Ventures,-,-,-,,2022/11/12
594,alpaca-vc,Non-Crypto Capital,-,-,-,,2022/11/12
595,tencent,Developers Support,-,-,-,,2022/11/12
596,oyster-ventures,Crypto Ventures,-,-,-,,2022/11/12
597,outlier-ventures,Crypto Ventures,-,-,-,,2022/11/12
598,warnerbros.,Foundation,-,-,-,,2022/11/12
599,circle,Crypto Ventures,-,-,-,,2022/11/12
600,libertus-capital,Crypto Ventures,-,-,-,,2022/11/12
601,iosg-ventures,Crypto Ventures,-,-,-,,2022/11/12
602,riot-games,Game Development,-,-,-,,2022/11/12
603,ttv-capital,Crypto Ventures,-,-,-,,2022/11/12
604,ivc-venture-capital,,-,-,-,,2022/11/12
605,tribe-capital,Crypto Ventures,-,-,-,,2022/11/12
606,1kx,Crypto Ventures,-,-,-,,2022/11/12
607,talis-capital,Crypto Ventures,-,-,-,,2022/11/12
608,dhvc,Crypto Ventures,-,-,-,,2022/11/12
609,dhvc,Non-Crypto Capital,-,-,-,,2022/11/12
610,qglobe,Lab,-,-,-,,2022/11/12
611,okx,Corporate,-,-,-,,2022/11/12
612,wadzpay,Corporate,-,-,-,,2022/11/12
613,tokoin,Corporate,-,-,-,,2022/11/12
614,antler,Crypto Ventures,-,-,-,,2022/11/12
615,negentropy-capital,Crypto Ventures,-,-,-,,2022/11/12
616,y2zventures,Crypto Ventures,-,-,-,,2022/11/12
617,verizon-ventures,Corporate,-,-,-,,2022/11/12
618,leonis-capital,Venture Capital,-,-,-,,2022/11/12
619,sumitomo-mitsui-trust-bank,Bank,-,-,-,,2022/11/12
620,blue-pool-capital,Foundation,-,-,-,,2022/11/12
621,assembly-capital-partners,Venture Capital,-,-,-,,2022/11/12
622,metax-ventures,Venture Capital,-,-,-,,2022/11/12
623,metaverse-alliance,IDO Launchpad,-,-,-,,2022/11/12
624,dynamic-fintech-group,Crypto Ventures,-,-,-,,2022/11/12
625,unity-capital,Crypto Ventures,-,-,-,,2022/11/12
626,akg-ventures,Venture Capital,-,-,-,,2022/11/12
627,horizon-capital,Venture Capital,-,-,-,,2022/11/12
628,mcg-capital,Venture Capital,-,-,-,,2022/11/12
629,luna-capital,Crypto Ventures,-,-,-,,2022/11/12
630,hillrise-capital,Crypto Ventures,-,-,-,,2022/11/12
631,oig-investment-group,Venture Capital,-,-,-,,2022/11/12
632,dfg,Crypto Ventures,-,-,-,,2022/11/12
633,octopus-crypto-capital,Crypto Ventures,-,-,-,,2022/11/12
634,prometeus-labs,Lab,-,-,-,,2022/11/12
635,athena-ventures,Venture Capital,-,-,-,,2022/11/12
636,corner-ventures,Venture Capital,-,-,-,,2022/11/12
637,openspace-ventures,Venture Capital,-,-,-,,2022/11/12
638,ready-player-dao,DAO,-,-,-,,2022/11/12
639,avocado-dao,DAO,-,-,-,,2022/11/12
640,a41-ventures,Venture Capital,-,-,-,,2022/11/12
641,qi-capital,Venture Capital,-,-,-,,2022/11/12
642,hooga-hooga-ventures,Venture Capital,-,-,-,,2022/11/12
643,fenbushi-digital,Developers Support,-,-,-,,2022/11/12
644,kingsway-capital,Venture Capital,-,-,-,,2022/11/12
645,gate-ventures,Crypto Ventures,-,-,-,,2022/11/12
646,mintable,,-,-,-,,2022/11/12
647,gbv-capital,Crypto Ventures,-,-,-,,2022/11/12
648,hyperedge-capital,Crypto Ventures,-,-,-,,2022/11/12
649,dune-ventures,Venture Capital,-,-,-,,2022/11/12
650,transcend-fund,Crypto Ventures,-,-,-,,2022/11/12
651,griffin-gaming-partners,Venture Capital,-,-,-,,2022/11/12
652,lightspeed-venture-partners,Venture Capital,-,-,-,,2022/11/12
653,digital-currency-group,Crypto Ventures,-,-,-,,2022/11/12
654,frabric-ventures,Crypto Ventures,-,-,-,,2022/11/12
655,volt-capital,Crypto Ventures,-,-,-,,2022/11/12
656,blackpool,DAO,-,-,-,,2022/11/12
657,lootsquad,DAO,-,-,-,,2022/11/12
658,m.h.carnegieco,Crypto Ventures,-,-,-,,2022/11/12
659,m.h.carnegieco,Non-Crypto Capital,-,-,-,,2022/11/12
660,salad-ventures,Crypto Ventures,-,-,-,,2022/11/12
661,shaw-and-partners,Crypto Ventures,-,-,-,,2022/11/12
662,shaw-and-partners,Non-Crypto Capital,-,-,-,,2022/11/12
663,flori-ventures,Crypto Ventures,-,-,-,,2022/11/12
664,sanctor-capital,Crypto Ventures,-,-,-,,2022/11/12
665,hedgespur-capital,Crypto Ventures,-,-,-,,2022/11/12
666,jun-capital,Crypto Ventures,-,-,-,,2022/11/12
667,blockdesk-ventures,Crypto Ventures,-,-,-,,2022/11/12
668,greylock-partners,Crypto Ventures,-,-,-,,2022/11/12
669,greylock-partners,Non-Crypto Capital,-,-,-,,2022/11/12
670,human-capital,Crypto Ventures,-,-,-,,2022/11/12
671,human-capital,Non-Crypto Capital,-,-,-,,2022/11/12
672,solana-ventures,Crypto Ventures,-,-,-,,2022/11/12
673,superchain-capital,Crypto Ventures,-,-,-,,2022/11/12
674,uobventure,Crypto Ventures,-,-,-,,2022/11/12
675,uobventure,Non-Crypto Capital,-,-,-,,2022/11/12
676,dreamcraft,Crypto Ventures,-,-,-,,2022/11/12
677,dreamcraft,Non-Crypto Capital,-,-,-,,2022/11/12
678,white-star-capital,Crypto Ventures,-,-,-,,2022/11/12
679,white-star-capital,Non-Crypto Capital,-,-,-,,2022/11/12
680,stake-capital,Crypto Ventures,-,-,-,,2022/11/12
681,susquehanna-international-group,Crypto Ventures,-,-,-,,2022/11/12
682,susquehanna-international-group,Non-Crypto Capital,-,-,-,,2022/11/12
683,susquehanna-international-group,Corporate,-,-,-,,2022/11/12
684,republic-crypto,Crypto Ventures,-,-,-,,2022/11/12
685,alliance,Crypto Ventures,-,-,-,,2022/11/12
686,mhc-digital-assets,Venture Capital,-,-,-,,2022/11/12
687,ftx,Crypto Ventures,-,-,-,,2022/11/12
688,emfarsis,Crypto Ventures,-,-,-,,2022/11/12
689,1upventures,Venture Capital,-,-,-,,2022/11/12
690,krust,Venture Capital,-,-,-,,2022/11/12
691,liberty-city-ventures,Venture Capital,-,-,-,,2022/11/12
692,mirana-ventures,Venture Capital,-,-,-,,2022/11/12
693,koreit,Non-Crypto Capital,-,-,-,,2022/11/12
694,pdax,Venture Capital,-,-,-,,2022/11/12
695,lda-capital,Venture Capital,-,-,-,,2022/11/12
696,kb-partners,Venture Capital,-,-,-,,2022/11/12
697,union-square-ventures,Venture Capital,-,-,-,,2022/11/12
698,electric-capital,Venture Capital,-,-,-,,2022/11/12
699,republic-capital,Venture Capital,-,-,-,,2022/11/12
700,geliim-group,Venture Capital,-,-,-,,2022/11/12
701,roosh-venture,Venture Capital,-,-,-,,2022/11/12
702,a16z-crypto,Venture Capital,-,-,-,,2022/11/12
703,incubate-fund,Venture Capital,-,-,-,,2022/11/12
704,crypto-gaming-united-cgu,Venture Capital,-,-,-,,2022/11/12
705,wintermute,Venture Capital,-,-,-,,2022/11/12
706,neon,Bank,-,-,-,,2022/11/12
707,tuzanye,Venture Capital,-,-,-,,2022/11/12
708,mercuryo,Foundation,-,-,-,,2022/11/12
709,general-catalyst,Venture Capital,-,-,-,,2022/11/12
710,d1-venture,Venture Capital,-,-,-,,2022/11/12
711,metacartel-ventures,Venture Capital,-,-,-,,2022/11/12
712,skybridge-capital,Venture Capital,-,-,-,,2022/11/12
713,spice-capital-partners,Venture Capital,-,-,-,,2022/11/12
714,moonwhale-ventures,Venture Capital,-,-,-,,2022/11/12
715,nft-technologies,Venture Capital,-,-,-,,2022/11/12
716,ibc-international-blockchain-consulting,Foundation,-,-,-,,2022/11/12
717,wealth-union,Venture Capital,-,-,-,,2022/11/12
718,fairum-ventures,Venture Capital,-,-,-,,2022/11/12
719,vespertine-capital,Venture Capital,-,-,-,,2022/11/12
720,milky-way,Venture Capital,-,-,-,,2022/11/12
721,molten-ventures,Venture Capital,-,-,-,,2022/11/12
722,2050,Venture Capital,-,-,-,,2022/11/12
723,brevan-howard,Venture Capital,-,-,-,,2022/11/12
724,morgan-creek-digital,Venture Capital,-,-,-,,2022/11/12
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
