,guilds name,token price,market cap,discord,number of partnered games,investors,time to crawl
1,Merit Circle MC,$0.46 ,"$143,703,743 ",22K,34,"Bitscale Capital
Maven 11 Capital
DeFiance Capital
Digital Finance Group
Dialectic Capital
OP Crypto
CitizenX Crypto Ventures
Yield Guild Games",2022/11/12
2,Yield Guild Games YGG,$0.24 ,"$44,937,921 ",-,41,"Mechanism Capital
Delphi Digital
Animoca Brands
Bitscale Capital
IDEO CoLab Ventures
A. Capital Ventures
Scalar Capital
ParaFi Capital
Andreessen Horowitz
Ascensive Assets
Greenfield One
SevenX Ventures
Gumi Cryptos
Polygon Studios
Free Company
FlamingoDAO
BlockTower Capital
BITKRAFT Ventures
Atelier Ventures
Fabric Ventures
Third Prime Capital
Dialectic Capital
Sfermion",2022/11/12
3,GuildFi GF,$0.12 ,"$17,469,811 ",-,25,"Alameda Research
Animoca Brands
Coin98 Ventures
Hashed
Sky Vision Capital
Pantera Capital
DeFiance Capital
Coinbase Ventures
Dapper Labs
Maven Capital
RR2 Capital",2022/11/12
4,Blockchain Space GUILD,$0.03 ,"$5,383,441 ",-,40,"Animoca Brands
Infinity Ventures Crypto
Spartan Group
Crypto.com Capital
Yield Guild Games
CoinGecko
Alameda Research
Morningstar Ventures
Arca
3Commas
GBV Capital
Sfermion
CMS Holdings
Fenbushi Digital
Petrock Capital
Mechanism Capital
Parataxis
Stable Node
Bitscale Capital
Kingsway Capital
UNIX
Impossible Finance Investor",2022/11/12
5,Blackpool BPT,$0.31 ,"$2,523,686 ",4K,17,"Delphi Digital
Play Ventures
Cherry Ventures
Frabric Ventures
BITKRAFT Ventures",2022/11/12
6,PathDAO PATH,$0.01 ,"$2,225,021 ",31K,39,"Newtribe Capital
Merit Circle Investor
Master Ventures
LVT Capital
DeFiance Capital",2022/11/12
7,UniX Gaming UNIX,$0.05 ,"$1,987,441 ",195K,36,"6KStarter
Banter Capital
BaseTwo
SL2 Capital
Paid Network
AU21 Capital
The Club Guild
Akash
Argo Blockchain
Synergia Capital
Carl Eric Martin
Master Ventures
Akatsuki
Pluto
LD Capital
Unvest
Scrypt",2022/11/12
8,Perion PERC,$0.20 ,"$1,511,888 ",-,10,"Chris Laurent
Rob Salha
Cluster Capital
Animoca Brands
CMCC Global
Framework Ventures
Alameda Research
Spartan Group
Apollo Capital
Jump Capital
Genblock Capital
Gemini Frontier Fund
Kucoin Labs
Gate Ventures
Pantera Capital",2022/11/12
9,Avocado DAO AVG,$0.05 ,"$1,345,870 ",-,33,"PNYX Ventures
Binance Smart Chain
Animoca Brands
Three Arrows Capital
MEXC Global
LD Capital
Polygon Studios
Andreessen Horowitz
QCP Soteria
Hashed
GoldenTree
Kenetic Capital",2022/11/12
